"","UBIDPTO","REGION","ZONA","OCU","INFORM","SEXO","GEDUC","AEDUC","AEDAD","AEDAD2","WS","LWS"
"1","13","Costa","Urbana","Ocupado","Informal","Masculino","Secundaria",7,49,2401,328.520277928539,5.79459856487352
"2","13","Costa","Urbana","Ocupado","Informal","Femenino","Secundaria",9,40,1600,206.969692901622,5.33257237144294
"3","13","Costa","Urbana","Ocupado","Informal","Masculino","Primaria",6,67,4489,73.4519944230183,4.29663205573004
"4","13","Costa","Urbana","Ocupado","Informal","Masculino","Sup. No Univ.",14,32,1024,70.4026818608094,4.25423135705219
"5","13","Costa","Urbana","Ocupado","Informal","Femenino","Secundaria",11,41,1681,181.980672344653,5.20390048552911
"6","13","Costa","Urbana","Ocupado","Formal","Masculino","Sup. No Univ.",13,37,1369,800.204821749462,6.68486772208539
"7","13","Costa","Urbana","Ocupado","Formal","Femenino","Sup. Univ.",16,37,1369,218.227217895437,5.38553680391236
"8","13","Costa","Urbana","Ocupado","Formal","Masculino","Secundaria",11,44,1936,588.459790307022,6.37750859863454
"9","13","Costa","Urbana","Ocupado","Formal","Femenino","Secundaria",11,38,1444,281.591549376809,5.64045761451829
"10","13","Costa","Urbana","Ocupado","Informal","Masculino","Primaria",3,76,5776,295.207976541389,5.68768011316543
"11","13","Costa","Urbana","Ocupado","Formal","Masculino","Sup. No Univ.",12,24,576,404.983228780908,6.00384565583159
"12","13","Costa","Urbana","Ocupado","Informal","Femenino","Secundaria",9,50,2500,351.301348673549,5.86164439835792
"13","13","Costa","Urbana","Ocupado","Formal","Masculino","Secundaria",11,51,2601,445.237990215351,6.09860894867932
"14","13","Costa","Urbana","Ocupado","Formal","Femenino","Secundaria",11,28,784,608.984422945166,6.41179268929602
"15","13","Costa","Urbana","Ocupado","Formal","Femenino","Secundaria",11,26,676,234.662820825079,5.45814967882615
"16","13","Costa","Urbana","Ocupado","Formal","Femenino","Secundaria",11,24,576,574.805007009583,6.35403086503955
"17","13","Costa","Urbana","Ocupado","Formal","Masculino","Sup. No Univ.",12,26,676,572.465282905247,6.3499520923761
"18","13","Costa","Urbana","Ocupado","Formal","Masculino","Sup. Univ.",16,63,3969,676.583005548215,6.51705513860316
"19","13","Costa","Urbana","Ocupado","Formal","Femenino","Sup. No Univ.",16,54,2916,246.399797479619,5.50695540974189
"20","13","Costa","Urbana","Ocupado","Formal","Masculino","Sup. Univ.",13,32,1024,82.6382882425028,4.41447311117119
"21","13","Costa","Urbana","Ocupado","Informal","Femenino","Sup. No Univ.",14,30,900,15.7260144717689,2.75531631381365
"22","13","Costa","Urbana","Ocupado","Informal","Masculino","Secundaria",11,49,2401,305.065502685888,5.72052651645371
"23","13","Costa","Urbana","Ocupado","Informal","Femenino","Secundaria",11,56,3136,216.731328713976,5.3786584699155
"24","13","Costa","Urbana","Ocupado","Informal","Masculino","Sup. No Univ.",14,51,2601,305.065502685888,5.72052651645371
"25","13","Costa","Urbana","Ocupado","Formal","Femenino","Secundaria",11,46,2116,315.325768225396,5.75360628926743
"26","13","Costa","Urbana","Ocupado","Formal","Masculino","Sup. Univ.",16,28,784,253.572394324059,5.53564936144887
"27","13","Costa","Urbana","Ocupado","Formal","Femenino","Sup. Univ.",16,26,676,469.210573251584,6.15105165116221
"28","13","Costa","Urbana","Ocupado","Informal","Femenino","Secundaria",11,17,289,107.186213271606,4.67456763282505
"29","13","Costa","Urbana","Ocupado","Formal","Masculino","Sup. Univ.",18,59,3481,1739.22812957277,7.46119669009354
"30","13","Costa","Urbana","Ocupado","Formal","Femenino","Sup. Univ.",18,58,3364,469.325641650158,6.15129685938609
"31","13","Costa","Urbana","Ocupado","Formal","Masculino","Sup. Univ.",17,28,784,536.602298683042,6.28525722177482
"32","13","Costa","Urbana","Ocupado","Formal","Masculino","Sup. Univ.",16,24,576,117.331410412539,4.7650024982662
"33","13","Costa","Urbana","Ocupado","Formal","Femenino","Sup. Univ.",16,41,1681,1094.72238789941,6.99825608307469
